	Tax.richness	MGE.nearARG.percell	ARG.percell	ARG.PC1	Efflux	Inactivation	Target.alteration	Air_temperature_of_sampling_month	pH	FM	Population	DO	Sludge_Age	BOD.removal.percentage	COD.removal.percentage	NH4.Nremoval.percentage	TNremoval.percentage	TPremoval.percentage
CNDL1BC	1127	0.197648775	3.102501228	-0.106161171	0.497735056	2.014701863	0.412851424	24.28	6.49	0.018972091	5922400	5.3	30	0.975	0.875	NA	NA	NA
CNDL2AC	850	0.328905754	5.268868767	-0.208596011	0.930839647	2.637948702	1.225520572	24.28	6.66	NA	5922400	1.51	20	0.95625	0.932352941	NA	NA	NA
CNDL2BC	914	0.327895151	4.515076303	-0.209664385	0.750112146	2.320962405	1.053132903	24.28	7.28	NA	5922400	3.4	20	0.95625	0.932352941	NA	NA	NA
CNHB3C	1161	0.231592665	5.298208516	-0.091100944	0.977934347	2.849234859	1.31569596	23.11	6.96	0.050587585	9943000	0.15	NA	NA	NA	NA	NA	NA
CNHB4B	1144	0.086644862	5.23286708	-0.107762149	0.932589035	2.80449681	1.325860775	23.11	6.96	0.050587585	9943000	0.29	NA	NA	NA	NA	NA	NA
CNHB4C	1207	0.174537308	4.894188914	-0.091716315	0.905993656	2.506058248	1.31480258	23.11	6.96	0.050587585	9943000	0.15	NA	NA	NA	NA	NA	NA
CNJN1C	1154	0.332358433	4.861161544	-0.211698368	0.64379864	2.908342495	1.0095862	27.22	7.02	0.087338821	7020100	1.9	13	0.976793623	0.947647059	0.958333333	0.866666667	0.9375
CNJN2C	1094	0.143481802	4.841458325	-0.095818713	0.958386622	2.398665289	1.355203262	27.22	7.25	0.089715013	7020100	1.29	12	0.97037037	0.9125	0.922222222	0.711111111	0.935714286
CNJN3C	1024	0.219689314	5.021200644	-0.064648108	0.846240214	2.762922784	1.273724887	27.22	7.08	0.05734213	7020100	4.33	12.9	0.888888889	0.83255814	0.946666667	0.741176471	0.9
CNJN4C	1130	0.124900701	4.028384099	-0.055310968	0.750713448	2.160130467	0.967768109	27.22	7.42	0.03646198	7020100	8.03	12.9	0.964285714	0.914705882	0.985	0.530612245	0.9
CNQD1C	1280	0.279670735	3.973960586	-0.137968947	0.621485863	2.089166419	1.047315844	24.28	6.83	NA	8964000	4.25	15	0.978333333	0.953846154	0.977777778	0.833333333	0.966666667
CNQD2C	1244	0.225690658	3.884410517	-0.14713857	0.704940185	2.127314328	0.814122881	24.28	6.88	0.023967657	8964000	1.23	20	0.95	0.890625	0.938095238	0.711111111	0.94
CNSH1C	1268	0.269834693	4.284134293	-0.136270167	0.654639546	2.355148239	1.020589888	27.39	7.07	0.573764688	24683400	NA	9	0.944864865	0.915584416	0.9325	0.784615385	0.833333333
CNSH2C	1282	0.22979762	4.156828762	-0.13738833	0.562492962	2.48645161	0.907237658	27.39	7.1	0.284536892	24683400	1.5	13.4	0.94	0.890625	0.64	NA	0.928
CNSH3C	1124	0.313183177	4.243685765	-0.17323506	0.525793156	2.543159009	0.975268634	27.39	6.93	0.58192385	24683400	2	NA	0.5	0.913607595	0.877075099	0.665714286	0.925
CNSH4C	1193	0.348867314	4.209341597	-0.164254192	0.530683329	2.522733105	0.923577011	27.39	6.99	NA	24683400	2	10	0.602122016	0.765625	0.947927928	0.851428571	0.954166667
CNSH5C	1011	0.222452213	3.786941929	-0.071679862	0.559306358	2.221936529	0.843820937	27.39	7.11	NA	24683400	1.93	10	0.928	0.920454545	0.953271028	0.690909091	0.93
CNSY3A	1208	0.021891114	2.768836514	-0.093854042	0.429792966	1.41122961	0.850423624	28.33	6.98	0.016025641	732000	3.25	14	0.984222222	0.933333333	0.9784	0.831	0.9825
CNSY3B	1200	0.055876521	2.659689178	-0.093247793	0.435682125	1.335523623	0.810912727	28.33	7.51	0.016025641	732000	4.78	14	0.984222222	0.933333333	0.9784	0.831	0.9825
CNSY3C	1277	0.100411364	2.237677145	-0.121159547	0.365958837	1.151255579	0.643951172	28.33	7.45	0.016025641	732000	4.54	14	0.984222222	0.933333333	0.9784	0.831	0.9825
CNSZ1C	1180	0.075625233	4.299329692	-0.058599853	0.776107802	2.218959952	1.231928429	29.61	6.67	NA	10768400	7.62	12.5	0.95	0.914285714	0.966666667	0.772727273	0.977777778
CNSZ2C	1081	0.058376731	3.94804227	-0.116792273	0.592386691	2.187483166	1.098484403	29.61	6.53	0.106913756	10768400	6.45	15	0.966666667	0.916666667	0.9575	0.520833333	0.825
CNSZ3AB	1425	0.070560809	3.082508505	-0.07879292	0.551020961	1.60150245	0.867933222	29.61	7.86	0.418956642	10768400	3.26	13	0.986956522	0.9675	0.925925926	0.720930233	0.95
CNSZ3AC	1289	0.073734556	3.278000744	-0.073719607	0.635537558	1.690475613	0.882451114	29.61	6.34	0.418956642	10768400	3.32	13	0.986956522	0.9675	0.925925926	0.720930233	0.95
CNSZ4AC	1233	0.066650845	4.006548946	-0.058781579	0.807572389	1.939951857	1.179091725	29.61	6.38	0.80426229	10768400	2.91	12	0.8	0.815384615	0.9	0.666666667	0.6
CNWH1C	1314	0.077838186	2.865850809	-0.078733909	0.491302304	1.591623945	0.707802461	27.72	7.1	NA	10189700	2.4	13.5	NA	0.857142857	0.978787879	0.525	0.75
CNWH2C	1240	0.168141502	4.029492344	-0.182063558	0.39921467	2.466980685	0.989903928	27.72	7.23	NA	10189700	0.9	7	NA	0.848484848	0.222222222	0.12195122	0.966666667
CNWH4C	1673	0.183704202	3.402249009	-0.141384099	0.583083585	1.680045315	0.96342422	27.72	7.09	NA	10189700	5.9	12	NA	0.8	0.8	0.82	0.9
CNWX1AC	1181	0.123872971	4.571281052	-0.073008637	0.861537908	2.548355385	1.021327128	24.44	6.99	0.408189531	4724300	1.69	20.5	0.941176471	0.92	0.875	0.74	0.727272727
CNWX2C	1171	0.328078146	3.607289418	-0.082718595	0.631269427	2.009544428	0.817679431	24.44	7.1	0.019267823	4724300	0.26	20.5	0.98	0.901818182	0.981818182	0.714285714	0.846153846
CNWX3AC	1141	0.223614081	4.344794043	-0.028645909	0.713865093	2.524586295	0.89272701	24.44	7.27	0.011475689	4724300	9.12	16.6	0.98	0.901818182	0.981818182	0.714285714	0.846153846
CNWX3BC	1134	0.490536206	4.448769968	-0.047522269	0.710822238	2.750470988	0.680219806	24.44	7.2	0.120436105	4724300	8.2	12.5	0.991666667	0.952727273	0.988333333	0.841463415	0.98
CNWX4C	1189	0.198683756	2.797536422	-0.097725052	0.473937438	1.639690031	0.590679941	24.44	7.15	0.026684428	4724300	3.36	18.42	0.96	0.878431373	0.916	0.76	0.98625
CNXA1C	1264	0.180625982	4.221960332	-0.173215004	0.623841203	2.283382678	1.133685352	29.11	7.19	0.349863154	8580800	0.69	22	0.96	0.956	0.9828	0.814285714	0.984615385
CNXA2C	1153	0.273075911	4.72867387	-0.126164874	0.798950335	2.297431427	1.458332779	29.11	7.16	0.170126716	8580800	0.58	13.7	0.95	0.95	0.852941176	0.711111111	0.725
CNXA3C	1201	0.234480903	4.261350308	-0.119259314	0.662676935	2.1529347	1.307067707	29.11	7.09	0.21614592	8580800	0.35	15.64	0.95	0.95	0.974358974	0.846153846	0.823529412
CNXM2C	1075	0.35788896	4.239865118	-0.076641661	0.583415739	2.728732824	0.690748444	29.39	6.83	0.060587293	3715900	5.25	20	0.986666667	0.9125	0.92	0.457142857	0.7
COCL2B	649	0.55409318	3.329260895	0.021394725	0.539659332	0.968725862	1.073384049	29	8	NA	4613684	0.1	NA	NA	NA	NA	NA	NA
COCL3C	869	0.578733998	5.04337821	-0.003280089	0.993287995	2.542232552	1.332328068	29	NA	NA	4613684	NA	NA	NA	NA	NA	NA	NA
DEHE1C	1162	0.083902256	3.196401293	0.083854742	0.445285556	1.681096003	1.032100993	18	6.75	0.149126448	3081900	0.7	10	0.981132075	0.947807933	0.994029851	0.654545455	0.87755102
DEKS1A	1229	0.040893159	2.990226962	0.068588233	0.490690971	1.593805382	0.866487878	19	6.9	0.102040816	1316700	2	10	0.99	0.958333333	0.976470588	0.815384615	0.875
DEKS1B	1205	0.123936654	3.069727319	0.058160488	0.474407692	1.631009907	0.923846642	19	6.9	0.102040816	1316700	2	10	0.99	0.958333333	0.976470588	0.815384615	0.875
DEKS1C	1205	0.093571464	3.08092241	0.042774024	0.502095717	1.648408806	0.893091465	19	6.9	0.102040816	1316700	2	10	0.99	0.958333333	0.976470588	0.815384615	0.875
DERA1C	1593	0.05573194	3.497322809	0.016759237	0.531078457	1.947384898	0.984537387	18	7.4	0.086983696	3081900	2	22	0.986666667	0.960526316	NA	0.927007299	0.959183673
ITLF2A	796	0.103935428	2.747865441	0.032145218	0.401030354	1.655919463	0.642981976	11	NA	0.049345955	NA	2.8	20	0.968085106	0.877622378	0.97972973	0.735148515	0.558823529
ITLF2B	1196	0.029746575	3.928884311	0.111429104	0.638697038	2.230539691	1.019915209	11	NA	0.049345955	NA	2.8	20	0.968085106	0.877622378	0.97972973	0.735148515	0.558823529
ITLF2C	1171	0.009504889	3.990281741	0.094253324	0.671053507	2.232670379	1.039100213	11	NA	0.049345955	NA	2.8	20	0.968085106	0.877622378	0.97972973	0.735148515	0.558823529
ITMC3C	1154	0.038534916	4.048782679	0.081542852	0.659697646	2.289114952	1.048609525	11	NA	0.086097683	826100	4.6	14	0.936507937	0.793103448	0.959798995	0.684563758	0.696774194
ITRB1C	1028	0.39268389	5.172407767	0.057590438	0.802314787	3.004298022	1.299234897	11	NA	0.029002252	826100	3.3	25	0.981818182	0.925233645	0.993220339	0.765550239	0.764705882
NZBL2	1295	0.09557773	2.584040113	-0.073339397	0.410290227	1.422285207	0.71829414	NA	NA	NA	1558900	NA	NA	NA	NA	NA	NA	NA
NZDM2	1356	0.038534829	4.43822846	0.142411265	0.661122974	2.128645937	1.618748479	NA	NA	NA	1558900	NA	NA	NA	NA	NA	NA	NA
NZOX2	1321	0.123547198	4.552641093	0.046046441	0.819329136	2.303260051	1.329376381	NA	NA	NA	1558900	NA	NA	NA	NA	NA	NA	NA
SADP3	1296	0.205209305	3.977424505	-0.07107113	0.468328901	2.518693911	0.867149736	17	6.98	NA	2991600	0.95	11	NA	0.902313625	0.818181818	NA	0.96
SAKB3	1109	0.207989014	3.505258687	-0.059452903	0.607762745	1.93516829	0.854907043	18	7.35	0.097134643	3796000	1.24	28	0.961310782	0.944045911	1	NA	0.88372093
SAKB5	1105	0.144122601	3.445493413	-0.047852707	0.59057709	1.882362382	0.870823182	18	7.35	0.097134643	3796000	1.1	28	0.961310782	0.944045911	1	NA	0.88372093
SAKB6	1067	0	2.526877763	0.079822923	0.438245353	1.375784306	0.708186742	18	7.35	0.097134643	3796000	1.1	28	0.961310782	0.944045911	1	NA	0.88372093
SAKR2	1475	0.113013097	3.709925955	-0.019092285	0.637359802	2.079758893	0.880991968	18	7.2	NA	4178700	1.1	12	NA	0.930955866	0.914820847	NA	0.833333333
SAZK3	1343	0.182188776	3.844470126	0.01076232	0.531370724	2.271048746	0.919844827	17	7.2	NA	2991600	0.97	20	NA	0.935483871	0.973913043	0.963157895	0.96
SEGL1C	1184	0.076183139	5.109990371	0.077867548	0.787616867	2.839007906	1.405514104	NA	NA	0.252322034	992000	2.9	20	0.996052632	NA	0.9953125	0.869230769	0.975
SEGL2C	1125	0.074682557	3.440594646	0.10580849	0.5287482	1.929776801	0.943452598	NA	NA	0.24404918	992000	3.3	20	0.996052632	NA	0.9953125	0.869230769	0.975
SESD1C	1125	0.093392079	3.769757239	0.127615584	0.606287452	1.996435592	1.127788879	16	7.6	0.242883296	992000	1	20.7	0.979792746	NA	0.965189873	0.91509434	0.971014493
SESD2C	1200	0.022637306	3.773169182	0.107794699	0.595747786	2.175234084	0.974226598	16	7.6	0.25147008	992000	2.5	20.7	0.979792746	NA	0.965189873	0.91509434	0.971014493
SESD3C	960	0.122769151	3.711975474	0.129837904	0.592334183	2.19560116	0.88955186	16	7.67	0.248955379	992000	5.64	NA	0.979792746	NA	0.965189873	0.91509434	0.971014493
SEUL1C	1019	0.050782601	3.451540148	0.12696697	0.565493258	1.984060257	0.869890996	NA	6.3	0.062665263	992000	1.83	18	0.987804878	NA	NA	0.735820896	0.959139785
SEVS1C	1006	0.41007804	3.811986742	0.116623914	0.59304733	2.186586496	1.003465732	NA	7.2	0.263398693	992000	1.9	5.5	0.964615385	NA	NA	0.366666667	0.923809524
SGEA1C	1224	0.126605514	3.766137419	-0.043336003	0.52194605	1.967820961	1.212477344	28	6.5	0.2765	5472700	1.8	5	0.96	0.92	0.9375	0.880952381	0.5
SGJR1C	973	0.142771613	3.459410998	0.002746128	0.681627273	1.991866901	0.717846761	28	7	0.11571213	5472700	1.5	13	0.95379538	0.93980344	NA	NA	NA
SGWE1C	1343	0.210106008	3.300166808	-0.051863121	0.54244636	1.788844111	0.882463491	28	6.2	0.31759042	5472700	NA	5	0.960629921	0.924528302	NA	NA	NA
TWKS2B	1247	0.038541438	3.410806524	0.016925468	0.456876618	1.990228513	0.923288162	30.3	7	0.002113271	2803700	2.5	13	0.666666667	0.736	NA	NA	NA
TWKS2C	1136	0.068826515	2.033827798	-0.045484522	0.160324553	1.130504799	0.696926715	30.3	7	0.002113271	2803700	2.5	13	0.666666667	0.736	NA	NA	NA
TWTN1C	1149	0.102509989	2.432818803	-0.041942467	0.200271854	1.317940926	0.864834646	30.4	7.6	0.077106884	1899700	1.69	7	0.908224076	0.842010772	NA	NA	NA
TWTN2C	1078	0.150005649	3.013446088	-0.006078516	0.483943781	1.505606586	0.955188003	30.4	7.2	0.692307692	1899700	6.5	NA	0.933333333	0.7	NA	NA	NA
USAG1C	1125	0.095125471	2.955222681	-0.043980995	0.515286639	1.486927344	0.884143835	NA	6.18	0.095454545	638494.7009	0.98	16	0.988530612	NA	0.988207547	NA	NA
USAG2C	1070	0.055645687	3.484326314	0.053239561	0.476399196	2.113128822	0.84215325	NA	6.18	0.095454545	638494.7009	0.5	16	0.988530612	NA	0.988207547	NA	NA
USAG3C	1065	0.025661522	3.509343601	0.044978036	0.453849425	2.113735595	0.875712888	NA	6.18	0.095454545	638494.7009	0.5	16	0.988530612	NA	0.988207547	NA	NA
USAG4C	1209	0.064363038	3.337730092	0.058047267	0.679418782	1.655783722	0.942248156	NA	6.14	0.093061535	638494.7009	0.59	16	0.988530612	NA	0.988207547	NA	NA
USAK1D1	623	0.03575069	2.050468766	-0.057286859	0.284184228	1.204335671	0.513049142	8	6.7	0.759617093	110293.5198	10.6	22	0.8625	NA	0.324074074	NA	NA
USAK1D2	681	0.037089842	2.064407506	-0.088797071	0.298152	1.194422579	0.521825636	8	6.7	0.759617093	110293.5198	10.6	22	0.8625	NA	0.324074074	NA	NA
USAT01C	1194	0.042829939	3.439565954	0.018190233	0.491512439	1.844809509	1.016816211	25	7.07	0.029264069	5596349	1	20	0.988636364	NA	NA	NA	NA
USAT02C	1111	0.061173816	4.720430591	0.041122232	0.653039587	2.753496038	1.268844942	26	6.96	0.185231272	5596349	1.3	21	0.986666667	NA	0.978888889	NA	0.98875
USAT03C	994	0.078766875	3.603575614	0.030977195	0.668240022	1.631108841	1.248015027	26	6.85	0.616539424	5596349	0.85	15	0.994265233	NA	NA	NA	NA
USAT04C	1196	0.096843193	3.180055992	0.023463353	0.528696184	1.772169429	0.78526767	26	6.29	0.036752137	5596349	2.44	30	0.973837209	NA	NA	NA	NA
USAT10C	1181	0.110211347	3.249199875	0.061711467	0.654752691	1.601555442	0.927051997	25	7.12	0.080039595	5596349	6.57	2	0.990243902	NA	0.991460055	NA	0.993428258
USAT12C	1183	0.071198664	3.236731237	0.070170781	0.679693275	1.553103084	0.940787448	26	6.5	0.032787785	5596349	5.4	29	0.985714286	NA	NA	NA	0.883673469
USBT1C	1171	0.067523711	2.859054896	0.049235212	0.582357333	1.358057322	0.856749512	21	7	0.637318962	1217378	2.7	NA	0.98989899	NA	NA	NA	0.85
USBT2C	1188	0.083143347	3.359850528	0.071654205	0.718538367	1.636597781	0.944346695	21	6.76	0.584615385	1217378	2.44	25.6	0.981981982	0.941601563	NA	NA	0.800387597
USBT5C	1168	0.071999947	3.420773202	0.03795774	0.588720389	1.88402235	0.902853105	19	6.67	0.382013853	1217378	2	17.2	0.98346856	NA	0.997183099	0.73164557	0.974806202
USBT6C	1128	0.052218621	3.855998204	0.066738185	0.554511461	2.251998243	0.988904285	19	6.67	0.382013853	1217378	2	17.2	0.98346856	NA	0.997183099	0.73164557	0.974806202
USCB1AC	1107	0.096619901	3.984327311	0.02776934	0.721397061	1.757870006	1.443557782	25	7.1	0.268493235	188712.522	2	12	0.972696246	0.939226519	0.978333333	NA	NA
USCB1BC	1185	0.157874186	3.487615577	0.038221901	0.581977287	1.952916435	0.871544775	25	7.1	0.268493235	188712.522	2	12	0.972696246	0.939226519	0.978333333	NA	NA
USCB1CC	1112	0.09673327	3.740350022	0.00568636	0.65937688	2.082205333	0.90827331	25	7.1	0.268493235	188712.522	2	12	0.972696246	0.939226519	0.978333333	NA	NA
USCB1DC	1145	0.119530774	4.564169493	0.083745905	0.948483043	2.471253347	1.041233314	25	7.1	0.268493235	188712.522	2	12	0.972696246	0.939226519	0.978333333	NA	NA
USCG1C	1152	0.090422834	3.156436035	0.143149802	0.554547426	1.809393239	0.762375984	23	7.3	0.218077475	9568133	2.81	11	0.989583333	NA	0.994009217	NA	0.381818182
USCG2C	1142	0.190460575	3.805846391	0.076521207	0.629555204	2.235533754	0.870630483	24	7.2	0.193846154	9568133	7.76	4.4	0.973214286	NA	0.895652174	NA	NA
USCG3C	1041	0.064328098	4.310528141	0.09072651	0.702410966	2.442773134	1.11909286	24	7.4	NA	9568133	3.6	8	0.985507246	NA	0.982580645	0.602649007	NA
USCG4AC	1107	0.071138057	3.933514775	0.094445205	0.590914536	2.279394977	1.009108071	23	7.8	0.208835401	9568133	4.8	5.3	0.984810127	NA	0.993251534	0.498316498	0.57254902
